totalWordCount, negationCount, negativeCount, positiveCount, coordinatingConjunctionCount, adjCount, nountCount, vbCount, pastTense, label
4,0,0,0,0,0,1,0,0,-2
12,0,1,1,0,0,4,2,1,-2
22,2,0,1,1,2,5,6,1,-2
13,0,0,1,1,1,3,2,0,-2
11,0,1,1,0,1,3,2,0,-2
44,2,0,3,4,3,11,8,3,-2
16,0,0,0,1,3,3,3,2,-2
23,0,0,1,0,2,4,3,2,-2
35,0,0,3,4,3,6,5,0,-2
14,1,1,1,1,4,1,3,0,-2
11,0,1,0,0,0,1,3,2,-2
11,1,0,1,1,2,4,1,0,-2
23,0,0,1,2,2,6,3,0,-2
13,0,0,2,0,1,3,3,0,-2
8,0,0,0,1,0,2,1,0,-2
27,0,0,2,1,1,10,6,5,-2
10,0,0,2,0,1,4,2,0,-2
13,0,0,2,1,3,5,1,0,-2
43,2,0,2,3,1,9,5,0,-2
17,0,0,0,1,1,3,2,0,-2
25,1,0,1,0,3,8,4,0,-2
12,0,0,0,1,1,3,2,0,-2
10,0,0,1,1,1,2,1,0,-2
15,0,0,2,1,1,3,2,0,-2
16,0,0,1,0,1,3,4,3,-2
24,0,0,0,3,1,7,3,2,-2
22,1,0,0,0,0,6,4,1,-2
13,0,0,0,0,0,2,3,0,-2
4,0,1,0,0,1,1,2,0,-2
22,0,0,0,1,1,3,5,1,-2
8,0,0,0,0,0,2,1,0,-2
23,0,0,1,2,0,7,3,3,-2
9,0,1,0,1,0,2,2,2,-2
15,1,0,1,1,1,4,2,0,-2
18,1,0,2,1,1,5,4,2,-2
6,1,0,0,0,0,1,1,1,-2
4,0,0,0,0,0,1,2,1,-2
33,1,0,4,5,1,5,5,2,-2
7,0,0,0,0,0,1,2,0,-2
8,0,0,0,0,2,1,2,0,-2
13,1,0,0,0,0,2,4,2,-2
22,0,1,0,2,1,7,4,4,-2
9,0,0,0,0,2,3,1,0,-2
11,1,0,2,0,0,1,4,2,-2
12,0,0,0,0,1,4,3,0,-2
19,0,0,0,2,2,5,3,0,-2
16,0,0,1,1,1,4,3,0,-2
27,0,0,0,0,1,6,5,0,-2
15,0,0,1,0,3,3,3,2,-2
34,0,0,4,3,4,6,7,4,-2
16,1,0,1,2,1,4,3,0,-2
12,0,0,1,0,1,3,3,0,-2
28,2,0,2,2,3,2,5,3,-2
20,1,1,0,0,2,1,7,7,-2
40,1,0,5,4,7,7,8,0,-2
18,0,1,0,0,2,5,3,3,-2
23,1,0,2,0,2,7,6,0,-2
9,1,0,1,0,1,3,3,1,-2
8,1,0,2,0,2,3,2,0,-2
13,0,0,5,1,3,3,1,0,-2
7,1,0,1,0,2,2,2,0,-2
7,0,1,0,0,2,2,2,0,-2
5,0,0,0,0,1,2,1,0,-2
12,0,0,0,0,2,4,2,0,-2
7,0,0,1,0,3,0,1,0,-2
11,1,0,1,0,0,2,3,2,-2
18,0,0,2,1,0,3,2,0,-2
20,1,0,1,2,0,4,2,2,-2
10,0,0,0,0,1,3,1,1,-2
15,1,1,0,1,1,3,3,1,-2
33,0,0,0,1,3,5,7,6,-2
22,1,0,0,2,1,4,2,1,-2
21,0,0,1,2,1,3,5,5,-2
14,0,0,0,2,0,3,3,2,-2
6,0,0,0,0,0,2,2,0,-2
22,0,0,2,1,4,4,3,1,-2
8,0,0,0,0,1,1,2,0,-2
20,0,0,2,1,2,4,3,0,-2
13,0,0,1,0,0,4,3,0,-2
9,0,0,0,1,0,2,2,2,-2
28,1,0,4,2,1,5,6,3,-2
21,0,0,1,1,1,5,5,0,-2
32,2,0,2,2,2,9,6,1,-2
15,0,0,4,0,2,1,5,1,-2
22,0,0,3,2,1,6,5,2,-2
11,0,1,1,0,1,1,3,1,-2
17,0,0,2,2,3,3,3,0,-2
16,2,0,3,0,1,1,5,0,-2
7,0,0,0,1,0,1,2,1,-2
13,0,0,1,0,2,2,2,1,-2
7,0,0,0,1,0,1,3,3,-2
17,1,0,1,1,2,5,2,1,-2
11,1,0,2,1,2,2,2,0,-2
29,0,0,2,0,2,7,7,1,-2
25,1,0,2,1,1,6,4,2,-2
23,0,0,1,2,1,2,9,6,-2
15,1,0,1,1,1,3,2,2,-2
2,0,1,0,0,1,0,0,0,-2
6,0,0,0,0,0,2,1,0,-2
9,0,0,1,0,1,3,2,1,-2
6,0,0,0,0,0,1,2,1,-2
17,1,1,1,2,1,2,5,3,-2
7,0,0,0,0,1,1,1,0,-2
21,1,0,1,0,4,5,3,2,-2
17,0,0,2,1,2,5,2,2,-2
14,0,0,0,0,1,6,2,0,-2
17,1,0,0,2,0,2,3,2,-2
17,0,1,0,1,2,1,5,2,-2
4,0,0,0,0,1,0,1,1,-2
13,0,0,1,0,0,4,2,0,-2
20,0,1,1,2,2,4,2,1,-2
10,0,0,2,1,3,1,1,1,-2
24,1,0,3,2,4,3,3,0,-2
28,0,0,1,1,2,6,4,2,-2
17,0,0,1,1,2,2,3,0,-2
12,0,0,2,1,0,1,3,1,-2
42,1,1,2,2,4,5,8,3,-2
19,0,0,1,0,4,4,2,0,-2
13,2,0,1,1,2,3,3,2,-2
9,0,0,0,0,0,3,1,1,-2
12,0,0,0,0,1,3,3,1,-2
17,0,0,1,1,2,2,4,0,-2
8,1,0,0,1,1,1,2,1,-2
12,0,1,1,0,1,2,2,0,-2
7,1,0,0,0,0,1,2,1,-2
18,2,0,2,2,1,1,1,0,-2
16,0,1,2,0,2,2,3,0,-2
31,0,0,0,1,0,8,7,0,-2
61,0,0,6,3,7,10,12,4,-2
21,0,0,1,1,2,3,4,1,-2
9,0,1,0,0,2,1,0,0,-2
16,0,0,1,2,3,3,1,1,-2
12,0,0,1,1,0,2,4,2,-2
19,1,0,1,3,0,3,2,1,-2
18,0,0,1,0,0,2,5,3,-2
14,1,1,1,1,4,3,2,0,-2
13,1,0,0,1,1,3,3,0,-2
15,0,1,0,0,1,2,4,2,-2
0,0,0,0,0,0,0,0,0,-2
18,0,0,0,1,2,2,3,1,-2
11,0,0,0,0,0,3,2,1,-2
16,0,0,1,0,1,4,3,0,-2
27,1,0,4,1,2,5,4,0,-2
21,0,1,1,2,2,3,6,0,-2
24,1,0,1,2,2,4,3,2,-2
32,1,0,4,5,3,5,7,1,-2
26,1,0,2,1,1,2,7,1,-2
18,1,0,1,0,2,5,4,3,-2
28,0,0,1,2,4,5,4,0,-2
25,1,2,1,1,3,5,4,2,-2
33,2,0,3,1,2,8,6,1,-2
26,1,0,2,0,1,3,6,4,-2
29,1,0,2,1,3,4,8,2,-2
19,0,1,0,1,3,5,2,0,-2
35,1,1,2,3,5,7,3,1,-2
21,0,0,3,2,2,4,4,0,-2
9,0,0,0,0,1,1,3,2,-2
26,0,0,1,2,4,3,3,2,-2
12,1,0,1,1,1,4,1,1,-2
22,0,0,0,1,1,5,3,0,-2
14,0,0,1,0,4,3,1,1,-2
18,2,0,0,2,1,0,4,3,-2
11,0,0,0,0,0,2,2,0,-2
15,0,0,0,1,1,4,2,0,-2
13,0,0,2,0,0,1,4,0,-2
14,0,1,0,0,1,4,2,2,-2
10,0,0,0,0,1,3,1,0,-2
16,0,1,0,1,1,5,1,0,-2
20,1,0,2,1,2,3,4,2,-2
10,0,0,1,1,3,2,1,1,-2
11,0,0,0,1,0,2,2,2,-2
18,0,0,2,0,0,5,4,3,-2
8,0,1,0,0,1,1,1,1,-2
20,1,0,2,1,1,5,2,0,-2
16,1,0,2,0,5,3,1,1,-2
18,0,0,1,1,2,7,1,0,-2
9,1,0,0,0,2,2,0,0,-2
13,0,0,1,0,4,2,1,0,-2
26,0,0,1,2,1,6,5,3,-2
17,0,0,1,3,1,1,4,2,-2
6,1,0,0,0,0,1,2,0,-2
12,0,0,0,1,2,3,2,2,-2
12,0,0,0,1,1,4,2,0,-2
24,1,0,1,1,2,3,6,1,-2
20,0,0,1,0,2,5,3,1,-2
8,0,0,0,0,1,1,3,0,-2
13,0,0,0,2,0,1,1,1,-2
23,0,0,0,2,1,5,4,1,-2
9,0,0,1,0,1,0,3,1,-2
27,1,0,2,1,3,6,5,1,-2
22,1,0,0,2,1,3,4,2,-2
15,1,0,2,2,0,2,2,0,-2
19,0,0,1,2,2,3,3,1,-2
15,0,0,1,2,1,2,3,3,-2
9,1,0,1,1,1,1,3,0,-2
7,0,0,0,0,1,2,1,0,-2
14,0,0,1,0,1,4,3,1,-2
17,0,1,0,1,1,4,2,0,-2
6,0,0,0,0,1,0,2,1,-2
17,0,0,1,1,2,2,4,1,-2
20,0,0,0,1,2,2,3,2,-2
12,1,0,4,1,3,2,1,0,-2
14,0,1,1,0,1,2,3,0,-2
19,0,1,1,1,2,3,4,1,-2
11,1,1,2,1,1,1,4,1,-2
25,0,0,2,1,1,5,7,3,-2
11,0,0,1,2,3,2,1,0,-2
12,1,0,0,1,2,1,3,2,-2
15,0,1,1,0,2,3,2,1,-2
8,0,0,1,0,1,1,2,2,-2
12,1,0,1,1,1,1,3,2,-2
19,1,0,2,1,4,2,2,0,-2
21,0,0,2,0,4,5,2,0,-2
11,1,0,1,0,0,2,1,0,-2
5,1,0,0,0,0,0,1,0,-2
49,0,1,3,4,4,9,9,3,-2
19,1,0,0,1,0,4,3,1,-2
20,0,0,2,2,3,3,6,2,-2
27,0,1,2,2,2,5,6,6,-2
10,1,0,2,1,2,2,3,0,-2
