totalWordCount, negationCount, negativeCount, positiveCount, coordinatingConjunctionCount, adjCount, nountCount, vbCount, pastTense, label
4,0,0,0,0,0,1,0,0,2
4,0,0,0,0,0,2,1,1,2
12,0,0,2,1,3,4,2,0,2
6,0,0,1,0,1,2,1,0,2
25,0,0,2,1,3,9,5,1,2
11,0,0,1,1,1,2,4,1,2
11,0,0,1,0,0,5,2,0,2
12,0,0,1,1,1,6,2,0,2
14,0,0,2,1,2,4,3,0,2
16,0,0,1,1,1,6,2,0,2
7,0,0,1,1,1,0,3,2,2
9,0,0,1,2,2,1,2,0,2
33,1,0,2,2,3,7,5,0,2
25,2,0,1,0,3,2,6,2,2
20,1,0,0,2,4,7,2,0,2
33,1,1,5,2,3,7,10,1,2
20,0,0,2,1,2,5,4,2,2
11,0,0,2,1,4,4,0,0,2
17,0,1,5,1,4,4,3,0,2
4,0,0,1,0,1,1,1,0,2
3,0,0,1,0,1,0,1,0,2
8,0,0,2,1,1,3,2,1,2
9,0,1,2,1,3,2,2,1,2
6,0,0,3,0,3,3,0,0,2
11,0,0,1,0,2,1,2,1,2
12,0,0,2,1,4,1,2,0,2
18,0,0,3,2,2,1,3,1,2
19,0,0,0,2,1,3,5,5,2
13,0,0,0,2,1,1,3,2,2
14,0,0,2,1,0,3,2,0,2
16,1,0,1,1,2,2,4,1,2
5,1,0,0,0,1,0,1,1,2
17,0,0,2,3,2,3,0,0,2
17,1,0,2,2,3,3,2,0,2
8,0,0,2,1,1,3,2,1,2
5,0,0,1,0,1,2,0,0,2
10,0,0,2,1,1,4,1,0,2
6,0,0,2,1,2,2,1,1,2
18,0,0,2,2,3,4,2,1,2
29,0,0,3,1,3,8,4,0,2
21,0,0,1,1,2,6,3,1,2
11,0,0,2,0,1,4,1,0,2
20,1,0,2,2,2,4,2,0,2
14,0,0,2,2,2,4,2,0,2
20,0,0,1,1,2,4,3,0,2
8,0,0,2,1,2,3,0,0,2
11,0,0,1,0,1,2,2,0,2
